(s),(mm),(kgf)
90.9,3.0292,8.7586
91,3.03254,8.76045
91.1,3.03597,8.76384
91.2,3.03943,8.76724
91.3,3.04255,8.76702
91.4,3.04594,8.76902
91.5,3.04943,8.77273
91.6,3.05263,8.77345
91.7,3.05596,8.77497
91.8,3.0595,8.77801
91.9,3.06269,8.77831
92,3.06578,8.77722
92.1,3.06935,8.78096
92.2,3.07254,8.77993
92.3,3.07585,8.78099
92.4,3.07935,8.78253
92.5,3.08271,8.78315
92.6,3.08582,8.7815
92.7,3.08933,8.78354
92.8,3.09271,8.78462
92.9,3.09607,8.7845
93,3.09939,8.78357
93.1,3.10271,8.78343
93.2,3.10597,8.78355
93.3,3.10927,8.78275
93.4,3.11268,8.78299
93.5,3.11602,8.78241
93.6,3.11923,8.78008
93.7,3.12256,8.77871
93.8,3.12607,8.77913
93.9,3.12922,8.7751
94,3.13257,8.7739
94.1,3.13616,8.77357
94.2,3.1394,8.76979
94.3,3.14256,8.76378
94.4,3.14611,8.76194
94.5,3.14935,8.75666
94.6,3.15257,8.75056
94.7,3.156,8.74479
94.8,3.15935,8.73758
94.9,3.16245,8.72693
95,3.16593,8.71908
95.1,3.1693,8.70786
95.2,3.17269,8.6955
95.3,3.17594,8.67937
95.4,3.17939,8.66508
95.5,3.18266,8.64689
95.6,3.18597,8.62745
95.7,3.18935,8.60963
95.8,3.19284,8.59029
95.9,3.19597,8.56415
96,3.19922,8.53845
96.1,3.20271,8.51405
96.2,3.20583,8.48458
96.3,3.20921,8.45409
96.4,3.21278,8.41189
96.5,3.21603,8.34087
96.6,3.21913,8.14263
96.7,3.22274,6.79919
96.8,3.22601,6.35421
96.9,3.22935,6.06162
97,3.23274,5.81976
97.1,3.23615,5.53688
97.2,3.23925,5.20933
97.3,3.24255,4.9461
97.4,3.246,4.75243
97.5,3.24931,4.59195
97.6,3.25253,4.43828
97.7,3.25598,4.29067
97.8,3.25929,4.16069
97.9,3.26252,4.04719
98,3.26592,3.94904
98.1,3.2695,3.86013
98.2,3.27271,3.76332
98.3,3.27599,3.67176
98.4,3.27947,3.57811
98.5,3.28259,3.45109
98.6,3.28593,3.26985
98.7,3.28942,2.89398
98.8,3.29268,1.99718
98.9,3.29574,1.75363
99,3.29936,1.63096
99.1,3.3026,1.53704
99.2,3.30597,1.47989
99.3,3.30931,1.4375
99.4,3.31281,1.40369
99.5,3.31596,1.37159
99.6,3.31935,1.34341
99.7,3.32271,1.32467
99.8,3.32615,1.30818
99.9,3.32931,1.29193
100,3.33262,1.27748
100.1,3.33602,1.26596
100.2,3.33914,1.2501
100.3,3.34251,1.23503
100.4,3.34607,1.21992
100.5,3.34932,1.2064
100.6,3.3525,1.19257
100.7,3.35608,1.18177
100.8,3.35928,1.17047
100.9,3.36262,1.16088
